Year,Make,Model,Mileage,Price,Body,Color,Engine,Country,Make_Model
2015,Dodge,Challenger,41904,17998,Coupe,Black,6 Cyl,USA,Dodge Challenger
2017,Dodge,Charger,8380,21717,Sedan,Gray,6 Cyl,USA,Dodge Charger
2014,Dodge,Dart,35920,10495,Sedan,Blue,4 Cyl,USA,Dodge Dart
2015,Dodge,Challenger,26109,18591,Coupe,Red,6 Cyl,USA,Dodge Challenger
2017,Dodge,Durango,11338,25739,SUV,White,6 Cyl,USA,Dodge Durango
2017,Dodge,Durango,11338,25739,SUV,White,6 Cyl,USA,Dodge Durango
2016,Dodge,Journey,23993,18876,SUV,Black,6 Cyl,USA,Dodge Journey
2017,Dodge,Charger,8380,21717,Sedan,Gray,6 Cyl,USA,Dodge Charger
2002,Dodge,Dakota,78982,6975,Pickup,Blue,8 Cyl,USA,Dodge Dakota
2013,Dodge,Avenger,83506,6550,Sedan,Blue,4 Cyl,USA,Dodge Avenger
2017,Dodge,Durango,11338,25739,SUV,White,6 Cyl,USA,Dodge Durango
2014,Dodge,Journey,49809,15778,SUV,Black,4 Cyl,USA,Dodge Journey
2015,Dodge,Charger,42589,18890,Sedan,Black,6 Cyl,USA,Dodge Charger
2017,Dodge,Charger,16279,20488,Sedan,Black,6 Cyl,USA,Dodge Charger
2017,Dodge,Journey,20448,17777,SUV,Red,4 Cyl,USA,Dodge Journey
2002,Dodge,Dakota,78982,6975,Pickup,Blue,8 Cyl,USA,Dodge Dakota
2014,Dodge,Charger,35263,16995,Sedan,Blue,6 Cyl,USA,Dodge Charger
2016,Dodge,Charger,47403,21995,Sedan,Black,8 Cyl,USA,Dodge Charger
2017,Dodge,Challenger,18786,26999,Coupe,Red,8 Cyl,USA,Dodge Challenger
2017,Dodge,Charger,8380,21717,Sedan,Gray,6 Cyl,USA,Dodge Charger
2002,Dodge,Dakota,78982,6975,Pickup,Blue,8 Cyl,USA,Dodge Dakota
2016,Dodge,Charger,22022,17399,Sedan,White,6 Cyl,USA,Dodge Charger
2015,Dodge,Challenger,87646,18995,Coupe,Black,8 Cyl,USA,Dodge Challenger
2014,Dodge,Dart,35920,10495,Sedan,Blue,4 Cyl,USA,Dodge Dart
2017,Dodge,Charger,8380,21717,Sedan,Gray,6 Cyl,USA,Dodge Charger
2015,Dodge,Challenger,22498,22995,Coupe,Silver,8 Cyl,USA,Dodge Challenger
2014,Dodge,Journey,36519,11990,SUV,Silver,4 Cyl,USA,Dodge Journey
2017,Dodge,Journey,18089,16900,SUV,Gray,4 Cyl,USA,Dodge Journey
2016,Dodge,Challenger,20284,19995,Coupe,White,6 Cyl,USA,Dodge Challenger
2014,Dodge,Charger,38123,16995,Sedan,Black,6 Cyl,USA,Dodge Charger
2017,Dodge,Charger,8380,21717,Sedan,Gray,6 Cyl,USA,Dodge Charger
2014,Dodge,Grand,62235,10998,Minivan,Gray,6 Cyl,USA,Dodge Grand
2017,Dodge,Charger,8380,21717,Sedan,Gray,6 Cyl,USA,Dodge Charger
2013,Dodge,Journey,65306,11995,SUV,Black,6 Cyl,USA,Dodge Journey
2015,Dodge,Journey,44535,12988,SUV,White,4 Cyl,USA,Dodge Journey
2014,Dodge,Challenger,60940,16500,Coupe,Black,6 Cyl,USA,Dodge Challenger
2013,Dodge,Challenger,46659,19995,Coupe,Black,8 Cyl,USA,Dodge Challenger
2016,Dodge,Durango,34966,31288,SUV,Gray,8 Cyl,USA,Dodge Durango
2015,Dodge,Challenger,87646,18995,Coupe,Black,8 Cyl,USA,Dodge Challenger
2014,Dodge,Charger,59430,14988,Sedan,Gray,6 Cyl,USA,Dodge Charger
2014,Dodge,Durango,38957,20995,SUV,Gray,6 Cyl,USA,Dodge Durango
2016,Dodge,Challenger,17213,19990,Coupe,White,6 Cyl,USA,Dodge Challenger
2014,Dodge,Charger,27353,15995,Sedan,Black,6 Cyl,USA,Dodge Charger
2017,Dodge,Durango,11338,25739,SUV,White,6 Cyl,USA,Dodge Durango
2013,Dodge,Charger,53431,13999,Sedan,Red,6 Cyl,USA,Dodge Charger
2015,Dodge,Charger,42589,18890,Sedan,Black,6 Cyl,USA,Dodge Charger
2015,Dodge,Charger,21261,23992,Sedan,Silver,8 Cyl,USA,Dodge Charger
2014,Dodge,SRT,11032,78987,Coupe,White,10 Cyl,USA,Dodge SRT
2015,Dodge,Dart,26441,11991,Sedan,White,4 Cyl,USA,Dodge Dart
2016,Dodge,Dart,23999,11333,Sedan,Black,4 Cyl,USA,Dodge Dart
2016,Dodge,Grand,18824,16997,Minivan,Silver,6 Cyl,USA,Dodge Grand
2015,Dodge,Journey,40900,12997,SUV,Red,4 Cyl,USA,Dodge Journey
2017,Dodge,Charger,16279,20488,Sedan,Black,6 Cyl,USA,Dodge Charger
2016,Dodge,Durango,34966,31288,SUV,Gray,8 Cyl,USA,Dodge Durango
2016,Dodge,Charger,19411,26788,Sedan,Silver,8 Cyl,USA,Dodge Charger
2014,Dodge,Journey,87377,6900,SUV,Gray,4 Cyl,USA,Dodge Journey
2016,Dodge,Journey,41705,14450,SUV,Gray,6 Cyl,USA,Dodge Journey
2016,Dodge,Journey,9587,16998,SUV,Black,6 Cyl,USA,Dodge Journey
2015,Dodge,Challenger,32055,17995,Coupe,Red,6 Cyl,USA,Dodge Challenger
2017,Dodge,Journey,37128,15988,SUV,Silver,6 Cyl,USA,Dodge Journey
2015,Dodge,Journey,26621,13995,SUV,Gray,4 Cyl,USA,Dodge Journey
2017,Dodge,Charger,9081,56897,Sedan,Green,8 Cyl,USA,Dodge Charger
2015,Dodge,Challenger,25020,22482,Coupe,Black,6 Cyl,USA,Dodge Challenger
2014,Dodge,Durango,38957,20995,SUV,Gray,6 Cyl,USA,Dodge Durango
2016,Dodge,Challenger,17213,19990,Coupe,White,6 Cyl,USA,Dodge Challenger
2002,Dodge,Dakota,78982,6975,Pickup,Blue,8 Cyl,USA,Dodge Dakota
2015,Dodge,Challenger,30611,17399,Coupe,Silver,6 Cyl,USA,Dodge Challenger
2016,Dodge,Durango,11898,23899,SUV,White,6 Cyl,USA,Dodge Durango
2015,Dodge,Challenger,41904,17998,Coupe,Black,6 Cyl,USA,Dodge Challenger
2015,Dodge,Challenger,26109,18591,Coupe,Red,6 Cyl,USA,Dodge Challenger
2013,Dodge,Avenger,35219,9291,Sedan,Blue,4 Cyl,USA,Dodge Avenger
2015,Dodge,Challenger,30900,21991,Coupe,Green,8 Cyl,USA,Dodge Challenger
2014,Dodge,Journey,63757,11695,SUV,Blue,4 Cyl,USA,Dodge Journey
2015,Dodge,Journey,50081,12555,SUV,Gray,4 Cyl,USA,Dodge Journey
2013,Dodge,Dart,66113,9950,Sedan,White,4 Cyl,USA,Dodge Dart
2014,Dodge,Charger,53424,15101,Sedan,Red,6 Cyl,USA,Dodge Charger
2017,Dodge,Challenger,24262,26667,Coupe,Black,8 Cyl,USA,Dodge Challenger
2017,Dodge,Grand,30379,20837,Minivan,White,6 Cyl,USA,Dodge Grand
2016,Dodge,Grand,29734,15991,Minivan,White,6 Cyl,USA,Dodge Grand
2002,Dodge,Dakota,78982,6975,Pickup,Blue,8 Cyl,USA,Dodge Dakota
2017,Dodge,Durango,11338,25739,SUV,White,6 Cyl,USA,Dodge Durango
2015,Dodge,Challenger,26109,18591,Coupe,Red,6 Cyl,USA,Dodge Challenger
2015,Dodge,Challenger,41904,17998,Coupe,Black,6 Cyl,USA,Dodge Challenger
2015,Dodge,Journey,54431,14499,SUV,Blue,6 Cyl,USA,Dodge Journey
2013,Dodge,Journey,65306,11995,SUV,Black,6 Cyl,USA,Dodge Journey
2015,Dodge,Journey,44535,12988,SUV,White,4 Cyl,USA,Dodge Journey
2018,Dodge,Challenger,8285,27811,Coupe,Gray,8 Cyl,USA,Dodge Challenger
2016,Dodge,Grand,22582,18462,Minivan,White,6 Cyl,USA,Dodge Grand
2013,Dodge,Avenger,35219,9291,Sedan,Blue,4 Cyl,USA,Dodge Avenger
2015,Dodge,Challenger,30900,21991,Coupe,Green,8 Cyl,USA,Dodge Challenger
2014,Dodge,Charger,27353,15995,Sedan,Black,6 Cyl,USA,Dodge Charger
2016,Dodge,Journey,23993,18876,SUV,Black,6 Cyl,USA,Dodge Journey
2015,Dodge,Journey,47817,12997,SUV,Black,4 Cyl,USA,Dodge Journey
2015,Dodge,Journey,60148,14300,SUV,White,6 Cyl,USA,Dodge Journey
2011,Dodge,Journey,87978,8500,SUV,Red,6 Cyl,USA,Dodge Journey
2015,Dodge,Journey,26621,13995,SUV,Gray,4 Cyl,USA,Dodge Journey
2017,Dodge,Charger,9081,56897,Sedan,Green,8 Cyl,USA,Dodge Charger
2015,Dodge,Challenger,25020,22482,Coupe,Black,6 Cyl,USA,Dodge Challenger
2014,Dodge,Charger,63266,14995,Sedan,White,6 Cyl,USA,Dodge Charger
2017,Dodge,Challenger,24262,26667,Coupe,Black,8 Cyl,USA,Dodge Challenger
2017,Dodge,Grand,30379,20837,Minivan,White,6 Cyl,USA,Dodge Grand
2014,Dodge,Durango,33532,25456,SUV,White,6 Cyl,USA,Dodge Durango
2017,Dodge,Durango,11338,25739,SUV,White,6 Cyl,USA,Dodge Durango
2016,Dodge,Journey,23993,18876,SUV,Black,6 Cyl,USA,Dodge Journey
2014,Dodge,Durango,38957,20995,SUV,Gray,6 Cyl,USA,Dodge Durango
2017,Dodge,Charger,14785,20000,Sedan,Red,6 Cyl,USA,Dodge Charger
2014,Dodge,Grand,43521,13995,Minivan,Black,6 Cyl,USA,Dodge Grand
2010,Dodge,Challenger,71153,14377,Coupe,Red,6 Cyl,USA,Dodge Challenger
2014,Dodge,Journey,87377,6900,SUV,Gray,4 Cyl,USA,Dodge Journey
2013,Dodge,Dart,72700,6900,Sedan,Blue,4 Cyl,USA,Dodge Dart
2013,Dodge,Durango,66745,16995,SUV,Gray,6 Cyl,USA,Dodge Durango
2017,Dodge,Durango,11338,25739,SUV,White,6 Cyl,USA,Dodge Durango
2016,Dodge,Journey,23993,18876,SUV,Black,6 Cyl,USA,Dodge Journey
2017,Dodge,Grand,30379,20837,Minivan,White,6 Cyl,USA,Dodge Grand
2017,Dodge,Challenger,24262,26667,Coupe,Black,8 Cyl,USA,Dodge Challenger
2014,Dodge,Durango,33532,25456,SUV,White,6 Cyl,USA,Dodge Durango
2015,Dodge,Durango,32326,27900,SUV,Black,6 Cyl,USA,Dodge Durango
2012,Dodge,Avenger,20261,12369,Sedan,White,6 Cyl,USA,Dodge Avenger
2012,Dodge,Journey,36822,10986,SUV,Red,4 Cyl,USA,Dodge Journey
2014,Dodge,Grand,47612,13985,Minivan,White,6 Cyl,USA,Dodge Grand
2015,Dodge,Charger,30267,19995,Sedan,Red,6 Cyl,USA,Dodge Charger
2016,Dodge,Challenger,13274,33737,Coupe,Orange,8 Cyl,USA,Dodge Challenger
2014,Dodge,Charger,27353,15995,Sedan,Black,6 Cyl,USA,Dodge Charger
2013,Dodge,Dart,80808,9457,Sedan,White,4 Cyl,USA,Dodge Dart
2017,Dodge,Charger,8380,21717,Sedan,Gray,6 Cyl,USA,Dodge Charger
2015,Dodge,Challenger,21938,18900,Coupe,Black,6 Cyl,USA,Dodge Challenger
2015,Dodge,Journey,26621,13995,SUV,Gray,4 Cyl,USA,Dodge Journey
2017,Dodge,Charger,9081,56897,Sedan,Green,8 Cyl,USA,Dodge Charger
2015,Dodge,Challenger,25020,22482,Coupe,Black,6 Cyl,USA,Dodge Challenger
2016,Dodge,Challenger,11996,35900,Coupe,Orange,8 Cyl,USA,Dodge Challenger
2017,Dodge,Journey,13817,18755,SUV,Silver,4 Cyl,USA,Dodge Journey
2014,Dodge,Journey,36519,11990,SUV,Silver,4 Cyl,USA,Dodge Journey
2017,Dodge,Journey,18089,16900,SUV,Gray,4 Cyl,USA,Dodge Journey
2015,Dodge,Charger,16169,25415,Sedan,Black,8 Cyl,USA,Dodge Charger
2016,Dodge,Journey,23993,18876,SUV,Black,6 Cyl,USA,Dodge Journey
2002,Dodge,Dakota,78982,6975,Pickup,Blue,8 Cyl,USA,Dodge Dakota
2016,Dodge,Charger,22022,17399,Sedan,White,6 Cyl,USA,Dodge Charger
2015,Dodge,Challenger,40499,22981,Coupe,Gray,8 Cyl,USA,Dodge Challenger
2015,Dodge,Durango,15391,25700,SUV,White,6 Cyl,USA,Dodge Durango
2017,Dodge,Challenger,24262,26667,Coupe,Black,8 Cyl,USA,Dodge Challenger
2017,Dodge,Grand,30379,20837,Minivan,White,6 Cyl,USA,Dodge Grand
2017,Dodge,Durango,11338,25739,SUV,White,6 Cyl,USA,Dodge Durango
2015,Dodge,Dart,21924,10800,Sedan,Red,4 Cyl,USA,Dodge Dart
2015,Dodge,Journey,26621,13995,SUV,Gray,4 Cyl,USA,Dodge Journey
2017,Dodge,Charger,9081,56897,Sedan,Green,8 Cyl,USA,Dodge Charger
2015,Dodge,Challenger,87646,18995,Coupe,Black,8 Cyl,USA,Dodge Challenger
2015,Dodge,Charger,21261,23992,Sedan,Silver,8 Cyl,USA,Dodge Charger
2014,Dodge,SRT,11032,78987,Coupe,White,10 Cyl,USA,Dodge SRT
2015,Dodge,Durango,27379,31999,SUV,Black,6 Cyl,USA,Dodge Durango
2015,Dodge,Grand,30524,18999,Minivan,Red,6 Cyl,USA,Dodge Grand
2016,Dodge,Journey,21645,16117,SUV,White,4 Cyl,USA,Dodge Journey
2016,Dodge,Challenger,12884,20752,Coupe,Black,6 Cyl,USA,Dodge Challenger
2016,Dodge,Grand,46214,14943,Minivan,Silver,6 Cyl,USA,Dodge Grand
2015,Dodge,Challenger,32055,17995,Coupe,Red,6 Cyl,USA,Dodge Challenger
2016,Dodge,Journey,9587,16998,SUV,Black,6 Cyl,USA,Dodge Journey
2013,Dodge,Dart,72700,6900,Sedan,Blue,4 Cyl,USA,Dodge Dart
2014,Dodge,Charger,27353,15995,Sedan,Black,6 Cyl,USA,Dodge Charger
2017,Dodge,Journey,15105,19495,SUV,Red,4 Cyl,USA,Dodge Journey
2017,Dodge,Journey,20448,17777,SUV,Red,4 Cyl,USA,Dodge Journey
2015,Dodge,Journey,19525,12495,SUV,Silver,4 Cyl,USA,Dodge Journey
2017,Dodge,Charger,16259,23493,Sedan,Blue,6 Cyl,USA,Dodge Charger
2015,Dodge,Challenger,50399,19993,Coupe,Silver,6 Cyl,USA,Dodge Challenger
2014,Dodge,Journey,63757,11695,SUV,Blue,4 Cyl,USA,Dodge Journey
2014,Dodge,Challenger,46319,21980,Coupe,Blue,8 Cyl,USA,Dodge Challenger
2002,Dodge,Dakota,78982,6975,Pickup,Blue,8 Cyl,USA,Dodge Dakota
2015,Dodge,Durango,24386,28995,SUV,Silver,6 Cyl,USA,Dodge Durango
2013,Dodge,Dart,72700,6900,Sedan,Blue,4 Cyl,USA,Dodge Dart
2016,Dodge,Journey,41705,14450,SUV,Gray,6 Cyl,USA,Dodge Journey
2017,Dodge,Journey,46160,16995,SUV,White,6 Cyl,USA,Dodge Journey
2016,Dodge,Journey,23993,18876,SUV,Black,6 Cyl,USA,Dodge Journey
2013,Dodge,Durango,66745,16995,SUV,Gray,6 Cyl,USA,Dodge Durango
2013,Dodge,Charger,53431,13999,Sedan,Red,6 Cyl,USA,Dodge Charger
2015,Dodge,Challenger,30611,17399,Coupe,Silver,6 Cyl,USA,Dodge Challenger
2014,Dodge,Charger,35263,16995,Sedan,Blue,6 Cyl,USA,Dodge Charger
2017,Dodge,Durango,11338,25739,SUV,White,6 Cyl,USA,Dodge Durango
2016,Dodge,Grand,24844,15997,Minivan,White,6 Cyl,USA,Dodge Grand
2015,Dodge,Dart,21006,12791,Sedan,Silver,4 Cyl,USA,Dodge Dart
2014,Dodge,Challenger,45958,21990,Coupe,Black,8 Cyl,USA,Dodge Challenger
2017,Dodge,Challenger,8575,27600,Coupe,White,8 Cyl,USA,Dodge Challenger
2015,Dodge,Journey,26621,13995,SUV,Gray,4 Cyl,USA,Dodge Journey
2015,Dodge,Challenger,25020,22482,Coupe,Black,6 Cyl,USA,Dodge Challenger
2014,Dodge,Durango,38957,20995,SUV,Gray,6 Cyl,USA,Dodge Durango
2016,Dodge,Challenger,17213,19990,Coupe,White,6 Cyl,USA,Dodge Challenger
2015,Dodge,Journey,26621,13995,SUV,Gray,4 Cyl,USA,Dodge Journey
2017,Dodge,Charger,9081,56897,Sedan,Green,8 Cyl,USA,Dodge Charger
2016,Dodge,Journey,23993,18876,SUV,Black,6 Cyl,USA,Dodge Journey
2017,Dodge,Durango,11338,25739,SUV,White,6 Cyl,USA,Dodge Durango
2016,Dodge,Durango,26563,29999,SUV,Red,6 Cyl,USA,Dodge Durango
2011,Dodge,Journey,87978,8500,SUV,Red,6 Cyl,USA,Dodge Journey
2017,Dodge,Charger,8126,23789,Sedan,Black,6 Cyl,USA,Dodge Charger
2015,Dodge,Charger,48733,16777,Sedan,Silver,6 Cyl,USA,Dodge Charger
2015,Dodge,Challenger,21938,18900,Coupe,Black,6 Cyl,USA,Dodge Challenger
2014,Dodge,Charger,38123,16995,Sedan,Black,6 Cyl,USA,Dodge Charger
2016,Dodge,Challenger,20284,19995,Coupe,White,6 Cyl,USA,Dodge Challenger
2013,Dodge,Durango,70611,15999,SUV,Black,6 Cyl,USA,Dodge Durango
2015,Dodge,Journey,39114,14999,SUV,White,6 Cyl,USA,Dodge Journey
2013,Dodge,Challenger,39496,20997,Coupe,Red,8 Cyl,USA,Dodge Challenger
2016,Dodge,Durango,26563,29999,SUV,Red,6 Cyl,USA,Dodge Durango
2014,Dodge,Durango,63117,16882,SUV,Red,6 Cyl,USA,Dodge Durango
2012,Dodge,Grand,77916,10495,Minivan,Red,6 Cyl,USA,Dodge Grand
2016,Dodge,Journey,23993,18876,SUV,Black,6 Cyl,USA,Dodge Journey
2002,Dodge,Dakota,78982,6975,Pickup,Blue,8 Cyl,USA,Dodge Dakota
2015,Dodge,Challenger,30611,17399,Coupe,Silver,6 Cyl,USA,Dodge Challenger
2014,Dodge,Charger,12671,22000,Sedan,Gray,8 Cyl,USA,Dodge Charger
2014,Dodge,Challenger,55789,14930,Coupe,Black,6 Cyl,USA,Dodge Challenger
2015,Dodge,Challenger,87646,18995,Coupe,Black,8 Cyl,USA,Dodge Challenger
2016,Dodge,Challenger,18653,25999,Coupe,Red,8 Cyl,USA,Dodge Challenger
2016,Dodge,Journey,53090,16981,SUV,Gray,4 Cyl,USA,Dodge Journey
2013,Dodge,Dart,72700,6900,Sedan,Blue,4 Cyl,USA,Dodge Dart
2002,Dodge,Dakota,78982,6975,Pickup,Blue,8 Cyl,USA,Dodge Dakota
2013,Dodge,Charger,70372,14798,Sedan,Red,6 Cyl,USA,Dodge Charger
2014,Dodge,Durango,63117,16882,SUV,Red,6 Cyl,USA,Dodge Durango
2013,Dodge,Durango,66745,16995,SUV,Gray,6 Cyl,USA,Dodge Durango
2015,Dodge,Journey,30848,13824,SUV,White,4 Cyl,USA,Dodge Journey
2015,Dodge,Dart,25000,10999,Sedan,Gray,4 Cyl,USA,Dodge Dart
2016,Dodge,Challenger,25555,18985,Coupe,Blue,6 Cyl,USA,Dodge Challenger
2016,Dodge,Charger,21495,22997,Sedan,Gray,8 Cyl,USA,Dodge Charger
2015,Dodge,Challenger,87646,18995,Coupe,Black,8 Cyl,USA,Dodge Challenger
2014,Dodge,Journey,49809,15778,SUV,Black,4 Cyl,USA,Dodge Journey
2013,Dodge,Avenger,35219,9291,Sedan,Blue,4 Cyl,USA,Dodge Avenger
2015,Dodge,Challenger,30900,21991,Coupe,Green,8 Cyl,USA,Dodge Challenger
2015,Dodge,Charger,25255,16989,Sedan,Black,6 Cyl,USA,Dodge Charger
2015,Dodge,Charger,21261,23992,Sedan,Silver,8 Cyl,USA,Dodge Charger
2014,Dodge,SRT,11032,78987,Coupe,White,10 Cyl,USA,Dodge SRT
2014,Dodge,Challenger,47056,16172,Coupe,White,6 Cyl,USA,Dodge Challenger
2014,Dodge,Journey,71705,13990,SUV,Silver,6 Cyl,USA,Dodge Journey
2014,Dodge,Journey,87377,6900,SUV,Gray,4 Cyl,USA,Dodge Journey
2013,Dodge,Durango,60637,22991,SUV,Black,8 Cyl,USA,Dodge Durango
2015,Dodge,Journey,26453,18421,SUV,White,4 Cyl,USA,Dodge Journey
2015,Dodge,Grand,34169,16900,Minivan,Black,6 Cyl,USA,Dodge Grand
2015,Dodge,Journey,26453,18421,SUV,White,4 Cyl,USA,Dodge Journey
2014,Dodge,Dart,63363,8750,Sedan,Black,4 Cyl,USA,Dodge Dart
2002,Dodge,Dakota,78982,6975,Pickup,Blue,8 Cyl,USA,Dodge Dakota
2013,Dodge,Charger,70372,14798,Sedan,Red,6 Cyl,USA,Dodge Charger
2016,Dodge,Journey,21605,19000,SUV,Black,4 Cyl,USA,Dodge Journey
2014,Dodge,Durango,30871,21429,SUV,Gray,6 Cyl,USA,Dodge Durango
2014,Dodge,Journey,83061,10977,SUV,Black,4 Cyl,USA,Dodge Journey
2012,Dodge,Grand,69371,10789,Minivan,Blue,6 Cyl,USA,Dodge Grand
2013,Dodge,Avenger,83506,6550,Sedan,Blue,4 Cyl,USA,Dodge Avenger
2011,Dodge,Nitro,83893,9995,SUV,Gray,6 Cyl,USA,Dodge Nitro
2015,Dodge,Charger,41919,19939,Sedan,Gray,6 Cyl,USA,Dodge Charger
2016,Dodge,Journey,27365,15699,SUV,White,4 Cyl,USA,Dodge Journey
2017,Dodge,Journey,21207,14990,SUV,White,4 Cyl,USA,Dodge Journey
2017,Dodge,Journey,19979,15990,SUV,White,6 Cyl,USA,Dodge Journey
2015,Dodge,Dart,51935,9990,Sedan,Gray,4 Cyl,USA,Dodge Dart
2015,Dodge,Grand,14271,16498,Minivan,Beige,6 Cyl,USA,Dodge Grand
2014,Dodge,Durango,63117,16882,SUV,Red,6 Cyl,USA,Dodge Durango
2016,Dodge,Charger,40712,18960,Sedan,White,6 Cyl,USA,Dodge Charger
2016,Dodge,Charger,34915,19816,Sedan,Black,6 Cyl,USA,Dodge Charger
2016,Dodge,Grand,24844,15997,Minivan,White,6 Cyl,USA,Dodge Grand
2016,Dodge,Grand,24844,15997,Minivan,White,6 Cyl,USA,Dodge Grand
2014,Dodge,Journey,36519,11990,SUV,Silver,4 Cyl,USA,Dodge Journey
2017,Dodge,Journey,18089,16900,SUV,Gray,4 Cyl,USA,Dodge Journey
2002,Dodge,Dakota,78982,6975,Pickup,Blue,8 Cyl,USA,Dodge Dakota
2017,Dodge,Journey,6502,20200,SUV,White,6 Cyl,USA,Dodge Journey
2015,Dodge,Challenger,26109,18591,Coupe,Red,6 Cyl,USA,Dodge Challenger
2015,Dodge,Charger,20144,17991,Sedan,Black,6 Cyl,USA,Dodge Charger
2013,Dodge,Challenger,49591,14899,Coupe,Black,6 Cyl,USA,Dodge Challenger
2014,Dodge,Charger,27353,15995,Sedan,Black,6 Cyl,USA,Dodge Charger
2016,Dodge,Dart,19137,11493,Sedan,White,4 Cyl,USA,Dodge Dart
2017,Dodge,Grand,29000,21500,Minivan,Gray,6 Cyl,USA,Dodge Grand
2015,Dodge,Dart,50404,8499,Sedan,Gray,4 Cyl,USA,Dodge Dart
2015,Dodge,Dart,30875,11490,Sedan,Red,4 Cyl,USA,Dodge Dart
2016,Dodge,Challenger,5011,49498,Coupe,Red,8 Cyl,USA,Dodge Challenger
2002,Dodge,Neon,21000,4200,Sedan,Black,4 Cyl,USA,Dodge Neon
2017,Dodge,Challenger,8575,27600,Coupe,White,8 Cyl,USA,Dodge Challenger
2013,Dodge,Charger,70372,14798,Sedan,Red,6 Cyl,USA,Dodge Charger
2016,Dodge,Journey,37618,16995,SUV,Silver,6 Cyl,USA,Dodge Journey
2015,Dodge,Dart,25000,10999,Sedan,Gray,4 Cyl,USA,Dodge Dart
2015,Dodge,Challenger,38374,21998,Coupe,Gray,8 Cyl,USA,Dodge Challenger
2012,Dodge,Charger,81469,15995,Sedan,White,8 Cyl,USA,Dodge Charger
2015,Dodge,Journey,36716,14990,SUV,Red,4 Cyl,USA,Dodge Journey
2015,Dodge,Dart,31254,11167,Sedan,Red,4 Cyl,USA,Dodge Dart
2015,Dodge,Dart,25000,10999,Sedan,Gray,4 Cyl,USA,Dodge Dart
2016,Dodge,Challenger,15350,20488,Coupe,Black,6 Cyl,USA,Dodge Challenger
2017,Dodge,Challenger,7322,34985,Coupe,Black,8 Cyl,USA,Dodge Challenger
2015,Dodge,Charger,16169,25415,Sedan,Black,8 Cyl,USA,Dodge Charger
2012,Dodge,Durango,81483,18000,SUV,Red,8 Cyl,USA,Dodge Durango
2017,Dodge,Charger,9081,56897,Sedan,Green,8 Cyl,USA,Dodge Charger
2015,Dodge,Journey,26621,13995,SUV,Gray,4 Cyl,USA,Dodge Journey
2016,Dodge,Challenger,11049,34969,Coupe,White,8 Cyl,USA,Dodge Challenger
2016,Dodge,Journey,22789,18938,SUV,Black,6 Cyl,USA,Dodge Journey
2013,Dodge,Charger,65903,19524,Sedan,White,8 Cyl,USA,Dodge Charger
2014,Dodge,Challenger,29722,23000,Coupe,Red,8 Cyl,USA,Dodge Challenger
2002,Dodge,Dakota,78982,6975,Pickup,Blue,8 Cyl,USA,Dodge Dakota
2013,Dodge,Charger,70372,14798,Sedan,Red,6 Cyl,USA,Dodge Charger
2017,Dodge,Durango,11338,25739,SUV,White,6 Cyl,USA,Dodge Durango
2016,Dodge,Journey,23993,18876,SUV,Black,6 Cyl,USA,Dodge Journey
2017,Dodge,Durango,11338,25739,SUV,White,6 Cyl,USA,Dodge Durango
2014,Dodge,Journey,87377,6900,SUV,Gray,4 Cyl,USA,Dodge Journey
2013,Dodge,Dart,80808,9457,Sedan,White,4 Cyl,USA,Dodge Dart
2017,Dodge,Charger,8380,21717,Sedan,Gray,6 Cyl,USA,Dodge Charger
2016,Dodge,Grand,24844,15997,Minivan,White,6 Cyl,USA,Dodge Grand
2015,Dodge,Dart,50581,8988,Sedan,White,4 Cyl,USA,Dodge Dart
2017,Dodge,Journey,17330,15090,SUV,Blue,4 Cyl,USA,Dodge Journey
2016,Dodge,Challenger,17213,19990,Coupe,White,6 Cyl,USA,Dodge Challenger
2014,Dodge,Charger,27353,15995,Sedan,Black,6 Cyl,USA,Dodge Charger
2016,Dodge,Journey,9587,16998,SUV,Black,6 Cyl,USA,Dodge Journey
2015,Dodge,Challenger,32055,17995,Coupe,Red,6 Cyl,USA,Dodge Challenger
2015,Dodge,Dart,50581,8988,Sedan,White,4 Cyl,USA,Dodge Dart
2017,Dodge,Journey,17330,15090,SUV,Blue,4 Cyl,USA,Dodge Journey
2016,Dodge,Grand,81936,12898,Minivan,Black,6 Cyl,USA,Dodge Grand
2014,Dodge,Journey,87377,6900,SUV,Gray,4 Cyl,USA,Dodge Journey
2016,Dodge,Grand,29734,15991,Minivan,White,6 Cyl,USA,Dodge Grand
2008,Dodge,Ram,60425,27988,Pickup,Gray,6 Cyl,USA,Dodge Ram
2016,Dodge,Grand,38280,16980,Minivan,Black,6 Cyl,USA,Dodge Grand
2016,Dodge,Grand,48212,16380,Minivan,Gray,6 Cyl,USA,Dodge Grand
2014,Dodge,Durango,28317,26861,SUV,Gray,6 Cyl,USA,Dodge Durango
2005,Dodge,Durango,83709,5995,SUV,White,8 Cyl,USA,Dodge Durango
2002,Dodge,Dakota,78982,6975,Pickup,Blue,8 Cyl,USA,Dodge Dakota
2015,Dodge,Challenger,30611,17399,Coupe,Silver,6 Cyl,USA,Dodge Challenger
2016,Dodge,Charger,22022,17399,Sedan,White,6 Cyl,USA,Dodge Charger
2014,Dodge,Challenger,75342,14994,Coupe,Silver,6 Cyl,USA,Dodge Challenger
2017,Dodge,Charger,6850,27887,Sedan,Black,8 Cyl,USA,Dodge Charger
